"","Var1","Freq"
"409","GPS1",1
"410","GRASP",1
"411","GRASP-AS1",1
"412","GRID2IP",1
"413","GRIP1",1
"414","GSG1L2",1
"415","GSX2",1
"416","H1-7",1
"417","H2BP1",1
"418","H3P4",1
"420","HAO2-IT1",1
"421","HAR1A",1
"422","HAR1B",1
"423","HCN4",1
"424","HDDC2",1
"425","HDDC3",1
"426","HELB",1
"427","HELZ2",1
"428","HEXD",1
"430","HEY2",1
"431","HGS",1
"432","HIGD1C",1
"433","HINT3",1
"434","HIPK2",1
"435","HIPK3",1
"440","HNF4G",1
"441","HOOK3",1
"442","HOTAIR",1
"443","HOXC-AS1",1
"444","HOXC-AS2",1
"445","HOXC-AS3",1
"446","HOXC10",1
"447","HOXC11",1
"448","HOXC12",1
"449","HOXC4",1
"450","HOXC5",1
"451","HOXC6",1
"452","HOXC8",1
"453","HOXC9",1
"454","HRH3",1
"455","HRNR",1
"456","HS3ST3A1",1
"457","HSD17B6",1
"461","HSF2",1
"462","HSPB1",1
"463","HULC",1
"464","IDH2",1
"465","IDH2-DT",1
"466","IDH3A",1
"469","IGF2BP1",1
"470","IGLL5",1
"472","IL23A",1
"475","IMP3",1
"478","IMPG2",1
"479","INCA1",1
"480","INHBC",1
"481","INHBE",1
"482","INPPL1",1
"483","INSYN1",1
"484","INSYN1-AS1",1
"485","INTS15",1
"486","INTS4",1
"487","IQCG",1
"488","IQGAP1",1
"489","IRAK3",1
"491","ITGA7",1
"492","JPH1",1
"493","KANSL2",1
"494","KBTBD11",1
"495","KBTBD11-OT1",1
"497","KCNE3",1
"499","KCNQ2",1
"500","KCTD21-AS1",1
"501","KCTD6",1
"502","KDELR2",1
"503","KDM7A",1
"504","KDM7A-DT",1
"505","KDR",1
"506","KIAA0408",1
"507","KIAA0753",1
"508","KIAA1549",1
"509","KIAA1549L",1
"510","KIF16B",1
"511","KIF1C",1
"512","KIF5A",1
"513","KIF7",1
"514","KLB",1
"515","KLF3",1
"516","KLHDC7B",1
"517","KLHDC8A",1
"518","KLHL35",1
"519","KLHL5",1
